date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
12/13/2016 4:00:00,96.4,11.53333333,6.977777778,30.17777778,59.8,1.533333333,2.622222222,0.133333333,0,189.3111111,3.333333333,0.044444444,3.4,0.044444444,8.244444444
12/13/2016 5:00:00,121.9111111,13.31111111,8.066666667,35.77777778,69.8,1.822222222,2.511111111,0.066666667,0,230.8,3.6,0,3.911111111,0.222222222,10.11111111
12/13/2016 6:00:00,142.4,14.31111111,7.733333333,39.68888889,74.17777778,1.933333333,3.822222222,0.155555556,0,257.7333333,3.933333333,0.044444444,3.088888889,0.111111111,11.8
12/13/2016 7:00:00,168.6888889,15.6,8.911111111,43.6,82.73333333,2.666666667,4.733333333,0.377777778,0,292.8888889,5.133333333,0.022222222,3.8,0.022222222,15.93333333
12/13/2016 8:00:00,181.6444444,19.08888889,10.06666667,46.35555556,100.4,2.555555556,6.133333333,0.155555556,0,323.3555556,6.955555556,0.066666667,4.488888889,0.133333333,19.24444444
12/13/2016 9:00:00,203.1777778,20.06666667,11.31111111,54.77777778,113.8666667,3.022222222,10.2,0.244444444,0,360.4666667,10.08888889,0.066666667,5.133333333,0.422222222,20.44444444
12/13/2016 10:00:00,220.5555556,21.28888889,12.57777778,58.97777778,127.2444444,3.6,12.22222222,0.222222222,0,391.3111111,10.06666667,0.044444444,5.844444444,0.333333333,25.02222222
12/13/2016 11:00:00,252.2666667,22.24444444,14.2,65.6,149.1111111,4.488888889,11.53333333,0.155555556,0,450.5111111,11.57777778,0.133333333,5.888888889,0.288888889,28.4
12/13/2016 12:00:00,272.3777778,23.95555556,15.31111111,70.31111111,165.7111111,4.288888889,14.08888889,0.244444444,0,484,11.73333333,0.111111111,8.355555556,0.177777778,34.15555556
12/13/2016 13:00:00,283.4,24.46666667,15.42222222,65.51111111,169.5111111,4.066666667,14.04444444,0.177777778,0.044444444,489.3333333,13.84444444,0.111111111,6.977777778,0.244444444,38.06666667
12/13/2016 14:00:00,279.2,23.82222222,15.48888889,63.26666667,180.4666667,5.422222222,14.93333333,0.088888889,0,494.9555556,13.2,0.111111111,7.4,0.155555556,37.48888889
12/13/2016 15:00:00,275.2666667,24.8,16.2,64.42222222,177.7555556,5.888888889,16.97777778,0.111111111,0,484.0666667,14.22222222,0.311111111,7.2,0.177777778,41.68888889
12/13/2016 16:00:00,270.7777778,22.82222222,14.55555556,60.6,174.8666667,5.155555556,18.37777778,0.111111111,0.044444444,463.9777778,15.04444444,0.133333333,8.622222222,0.288888889,42.66666667
12/13/2016 17:00:00,252.8666667,20.2,13.57777778,56.06666667,162.7777778,5.4,20.44444444,0.133333333,0.022222222,421.1777778,15.51111111,0.2,7.2,0.222222222,46.46666667
12/13/2016 18:00:00,236.4444444,17.35555556,11.48888889,48.06666667,159.6444444,4.711111111,22.73333333,0.244444444,0,389.4666667,15.31111111,0.311111111,6.555555556,0.311111111,43.31111111
12/13/2016 19:00:00,210.1333333,15.4,10.91111111,41.91111111,143.9777778,5.711111111,19.77777778,0.266666667,0.022222222,343.3555556,14.64444444,0.133333333,6.466666667,0.333333333,43.44444444
12/13/2016 20:00:00,189.1777778,13.68888889,9.066666667,37.48888889,133.2888889,4.488888889,21.73333333,0.066666667,0,303.7777778,13.55555556,0.155555556,5.6,0.177777778,42.57777778
12/13/2016 21:00:00,164.6666667,12.51111111,7.933333333,30.91111111,121.6666667,4.377777778,18.91111111,0.022222222,0.022222222,265.8444444,11.15555556,0.266666667,5.866666667,0.111111111,40.48888889
12/13/2016 22:00:00,133.2222222,9.488888889,6.4,26.02222222,98.57777778,4.466666667,15.13333333,0.088888889,0,213.8222222,9.644444444,0.133333333,5,0.111111111,34.8
12/13/2016 23:00:00,103.4444444,8.111111111,4.822222222,20.04444444,74,3.422222222,10.66666667,0.044444444,0,165.8888889,7.088888889,0.155555556,3,0.044444444,27.22222222
12/14/2016 0:00:00,81.93333333,7.955555556,4.666666667,15.82222222,54.57777778,2.4,8.533333333,0.155555556,0,132.5777778,5.777777778,0.088888889,2.422222222,0.044444444,18.15555556
12/14/2016 1:00:00,72.24444444,6.911111111,3.822222222,15.17777778,41.57777778,1.644444444,4.866666667,0.022222222,0,117.1555556,4.111111111,0,2.155555556,0.022222222,13.28888889
12/14/2016 2:00:00,71.4,6.933333333,4.333333333,16.88888889,41.95555556,1.755555556,3.466666667,0.111111111,0,124.3333333,3.088888889,0,2.311111111,0.088888889,10.66666667
12/14/2016 3:00:00,78.17777778,9.355555556,5.244444444,23.24444444,46.24444444,1.666666667,2.8,0.044444444,0,146.3555556,3.111111111,0.066666667,3.133333333,0,9.044444444
12/14/2016 4:00:00,95.2,10.82222222,6.4,28.73333333,56.2,1.711111111,1.911111111,0.088888889,0,182.2666667,3.488888889,0.044444444,2.711111111,0.044444444,8.977777778
12/14/2016 5:00:00,110.9777778,12.8,6.444444444,33.24444444,64.15555556,1.622222222,2.222222222,0.222222222,0,211.2,2.822222222,0.022222222,2.977777778,0.022222222,10.24444444
12/14/2016 6:00:00,135.7333333,13.51111111,8.088888889,38.11111111,72.13333333,1.955555556,3.711111111,0.066666667,0.022222222,246.1555556,4.066666667,0.022222222,3.822222222,0.111111111,12.37777778
12/14/2016 7:00:00,155.2888889,14.68888889,7.977777778,41.11111111,82.13333333,2.644444444,4.444444444,0.222222222,0,273.6888889,5.666666667,0.066666667,4.222222222,0.066666667,16.06666667
12/14/2016 8:00:00,180.5111111,16.22222222,8.311111111,44.11111111,96.26666667,2.911111111,8.511111111,0.244444444,0,308.7777778,6.311111111,0.177777778,4.177777778,0.266666667,20.37777778
12/14/2016 9:00:00,197.6222222,19.13333333,10.28888889,50.66666667,108.5111111,3.577777778,9.044444444,0.244444444,0.044444444,343.4222222,9.555555556,0.111111111,4.911111111,0.4,22.64444444
12/14/2016 10:00:00,219.6666667,20.08888889,10.97777778,56.37777778,122.3777778,2.911111111,11.06666667,0.133333333,0,380.4444444,9.022222222,0.088888889,5.577777778,0.266666667,26.66666667
12/14/2016 11:00:00,241.8666667,22.44444444,13.84444444,60.88888889,147.2444444,4.444444444,11.55555556,0.177777778,0,429.2666667,11.53333333,0.155555556,6.422222222,0.111111111,32.33333333
12/14/2016 12:00:00,256.8888889,22.2,14.53333333,63.66666667,158.8666667,3.911111111,14.04444444,0.133333333,0.022222222,453.4666667,12.06666667,0.088888889,6.733333333,0.066666667,34.04444444
12/14/2016 13:00:00,262.1777778,22.22222222,12.53333333,63.75555556,162.9111111,4.666666667,14.11111111,0.133333333,0,458.4666667,11.86666667,0.133333333,6.622222222,0.333333333,37.26666667
12/14/2016 14:00:00,266.3333333,23.73333333,13.15555556,60.84444444,167.6666667,4.911111111,15.26666667,0.088888889,0.066666667,462.5555556,12.2,0.244444444,6.977777778,0.155555556,39.71111111
12/14/2016 15:00:00,267.8222222,23.88888889,14.62222222,61.17777778,167.9333333,4.622222222,16.02222222,0.222222222,0,460.3111111,12.82222222,0.088888889,8.066666667,0.244444444,42.8
12/14/2016 16:00:00,254.5555556,21.26666667,12.48888889,56.91111111,165.8666667,5.244444444,18.55555556,0.155555556,0,431.7333333,12.86666667,0.177777778,7.044444444,0.444444444,45.66666667
12/14/2016 17:00:00,240.6,18.77777778,12.77777778,50.88888889,152.9111111,4.777777778,20.86666667,0.155555556,0,396.1111111,13.4,0.177777778,7.644444444,0.177777778,42.68888889
12/14/2016 18:00:00,220.0222222,17.71111111,10.28888889,44.75555556,146.5777778,4.666666667,19.95555556,0.177777778,0.022222222,361.2666667,13.11111111,0.177777778,5.933333333,0.244444444,43.95555556
12/14/2016 19:00:00,198.5333333,15.15555556,9.933333333,40.95555556,138.1555556,4.311111111,22.28888889,0.133333333,0.022222222,322.1111111,14.06666667,0.266666667,6.4,0.2,42.42222222
12/14/2016 20:00:00,184.0888889,13.57777778,9.088888889,34.73333333,128.2444444,4.666666667,20.46666667,0.088888889,0,291.7555556,13,0.244444444,5.266666667,0.088888889,44.06666667
12/14/2016 21:00:00,157.0666667,11.77777778,8.244444444,31.77777778,117.6888889,5.177777778,18.88888889,0.133333333,0.022222222,257.0444444,10.24444444,0.066666667,4.6,0.133333333,41.22222222
12/14/2016 22:00:00,131.4222222,10.33333333,6.022222222,25.35555556,99.57777778,3.711111111,17.17777778,0.066666667,0,210.9111111,9.755555556,0.2,3.733333333,0.288888889,34.73333333
12/14/2016 23:00:00,102.5111111,8.222222222,4.511111111,18.86666667,73.15555556,3.511111111,11.77777778,0,0,162.2222222,7.333333333,0.022222222,3.533333333,0.088888889,26.4
12/15/2016 0:00:00,84.4,7.955555556,3.444444444,15.35555556,50.04444444,2.177777778,7.288888889,0.088888889,0,131.7777778,5.266666667,0.066666667,3.466666667,0.111111111,15.97777778
12/15/2016 1:00:00,69.62222222,8.266666667,3.533333333,14.11111111,43.55555556,2,5.777777778,0.066666667,0,116.7111111,4.111111111,0.044444444,2.777777778,0.088888889,11.95555556
12/15/2016 2:00:00,70.48888889,7.8,3.4,19.15555556,44.26666667,1.488888889,3.733333333,0.044444444,0,127.4222222,2.866666667,0.066666667,2.488888889,0,10.48888889
12/15/2016 3:00:00,79.73333333,10.24444444,4.266666667,23.73333333,48.13333333,1.622222222,3.066666667,0.044444444,0,151.7555556,2.666666667,0,2.377777778,0.088888889,8.422222222
12/15/2016 4:00:00,95.06666667,11.28888889,6.2,31.02222222,58.4,1.533333333,2.688888889,0.177777778,0,186.9555556,2.844444444,0,2.8,0.022222222,8.777777778
12/15/2016 5:00:00,119.0444444,12.91111111,6.044444444,36.26666667,65.44444444,2,3,0.133333333,0,221.2666667,3.266666667,0.111111111,3.088888889,0.155555556,11.42222222
12/15/2016 6:00:00,143.0666667,14.2,7.177777778,37.24444444,74.31111111,1.933333333,3.311111111,0.088888889,0.022222222,254.4666667,3.977777778,0.066666667,3.288888889,0.066666667,13.04444444
